         2914 function calls (2869 primitive calls) in 0.654 seconds

   Ordered by: internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 common.py:1006(is_signed_integer_dtype)
        3    0.000    0.000    0.000    0.000 generic.py:401(_get_axis_number)
        1    0.000    0.000    0.000    0.000 managers.py:748(<listcomp>)
        1    0.000    0.000    0.000    0.000 weakref.py:358(remove)
        4    0.000    0.000    0.000    0.000 common.py:1063(is_unsigned_integer_dtype)
        2    0.000    0.000    0.000    0.000 base.py:1807(is_boolean)
        2    0.000    0.000    0.000    0.000 space.py:21(seed)
        2    0.000    0.000    0.000    0.000 shape_base.py:182(vstack)
        1    0.000    0.000    0.000    0.000 numeric.py:556(ascontiguousarray)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:882(argsort)
        2    0.000    0.000    0.000    0.000 generic.py:5182(__setattr__)
        1    0.000    0.000    0.000    0.000 indexing.py:226(_has_valid_tuple)
        1    0.000    0.000    0.000    0.000 managers.py:2001(_preprocess_slice_or_indexer)
       20    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.000    0.000 base.py:5052(_validate_indexer)
        3    0.000    0.000    0.000    0.000 generic.py:5146(__finalize__)
        2    0.000    0.000    0.000    0.000 base.py:781(view)
        2    0.000    0.000    0.000    0.000 generic.py:431(_get_block_manager_axis)
        1    0.000    0.000    0.000    0.000 base.py:653(_shallow_copy_with_infer)
        1    0.000    0.000    0.000    0.000 base.py:3221(_convert_listlike_indexer)
        1    0.000    0.000    0.000    0.000 indexing.py:239(_is_nested_tuple_indexer)
        1    0.000    0.000    0.000    0.000 indexing.py:1713(_is_scalar_access)
        1    0.000    0.000    0.000    0.000 blocks.py:766(copy)
        7    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFA480176C0}
        2    0.000    0.000    0.000    0.000 shape_base.py:234(<listcomp>)
        2    0.000    0.000    0.000    0.000 shape_base.py:11(atleast_1d)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 inference.py:423(is_sequence)
        1    0.000    0.000    0.000    0.000 generic.py:3385(_set_is_copy)
        1    0.000    0.000    0.000    0.000 generic.py:5369(values)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 numerictypes.py:936(<listcomp>)
        9    0.000    0.000    0.000    0.000 shape_base.py:1150(<genexpr>)
        9    0.000    0.000    0.000    0.000 managers.py:236(items)
        3    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 fromnumeric.py:49(_wrapfunc)
        1    0.000    0.000    0.000    0.000 base.py:4797(get_indexer_for)
       10    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 common.py:219(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.bincount}
        5    0.000    0.000    0.000    0.000 managers.py:645(is_consolidated)
        4    0.000    0.000    0.000    0.000 inference.py:120(is_iterator)
        4    0.000    0.000    0.000    0.000 inference.py:246(is_array_like)
        3    0.000    0.000    0.000    0.000 common.py:862(is_dtype_equal)
        3    0.000    0.000    0.000    0.000 base.py:1870(inferred_type)
        2    0.000    0.000    0.000    0.000 common.py:1684(is_extension_type)
        3    0.000    0.000    0.000    0.000 indexing.py:1398(<genexpr>)
        1    0.000    0.000    0.000    0.000 generic.py:5237(_protect_consolidate)
        1    0.000    0.000    0.000    0.000 construction.py:602(sanitize_index)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        1    0.000    0.000    0.000    0.000 missing.py:389(array_equivalent)
        9    0.000    0.000    0.000    0.000 common.py:214(classes_and_not_datetimelike)
        3    0.000    0.000    0.000    0.000 managers.py:325(__len__)
        2    0.000    0.000    0.000    0.000 indexing.py:2463(is_label_like)
        2    0.000    0.000    0.000    0.000 managers.py:783(<lambda>)
        2    0.000    0.000    0.000    0.000 {pandas._libs.lib.values_from_object}
        1    0.000    0.000    0.000    0.000 shape_base.py:236(hstack)
        1    0.000    0.000    0.000    0.000 dtypes.py:866(construct_from_string)
        1    0.000    0.000    0.000    0.000 generic.py:3359(_clear_item_cache)
        1    0.000    0.000    0.000    0.000 indexing.py:812(_multi_take_opportunity)
        2    0.000    0.000    0.000    0.000 base.py:714(<lambda>)
        1    0.000    0.000    0.000    0.000 common.py:814(is_datetimelike)
        6    0.000    0.000    0.000    0.000 shape_base.py:1140(<genexpr>)
        4    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_int64}
        2    0.000    0.000    0.000    0.000 missing.py:574(clean_reindex_fill_method)
        2    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 common.py:951(is_integer_dtype)
        1    0.000    0.000    0.000    0.000 indexing.py:2110(_getitem_axis)
        6    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_integer}
        5    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 common.py:306(is_null_slice)
        1    0.000    0.000    0.000    0.000 shape_base.py:283(<listcomp>)
        1    0.000    0.000    0.000    0.000 base.py:180(construct_from_string)
        1    0.000    0.000    0.000    0.000 base.py:5037(_maybe_cast_indexer)
        1    0.000    0.000    0.000    0.000 generic.py:5250(f)
        7    0.000    0.000    0.000    0.000 base.py:3916(_values)
        1    0.000    0.000    0.000    0.000 dtypes.py:1040(construct_from_string)
        1    0.000    0.000    0.000    0.000 generic.py:5247(_consolidate_inplace)
        1    0.000    0.000    0.000    0.000 {pandas._libs.internals.get_blkno_placements}
        5    0.000    0.000    0.000    0.000 base.py:744(dtype)
        4    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 dtypes.py:717(construct_from_string)
        1    0.000    0.000    0.000    0.000 indexing.py:162(_slice)
        1    0.000    0.000    0.000    0.000 managers.py:784(<listcomp>)
        3    0.000    0.000    0.000    0.000 indexing.py:240(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        3    0.000    0.000    0.000    0.000 frame.py:379(_constructor)
        2    0.000    0.000    0.000    0.000 missing.py:75(clean_fill_method)
        2    0.000    0.000    0.000    0.000 indexing.py:827(<genexpr>)
        2    0.000    0.000    0.000    0.000 blocks.py:3318(<listcomp>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:1001(<listcomp>)
        1    0.000    0.000    0.000    0.000 base.py:3258(_convert_arr_indexer)
        1    0.000    0.000    0.000    0.000 frame.py:3512(_ensure_valid_index)
        1    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 base.py:527(<genexpr>)
        2    0.000    0.000    0.000    0.000 managers.py:342(<genexpr>)
        1    0.000    0.000    0.000    0.000 _methods.py:34(_sum)
        1    0.000    0.000    0.000    0.000 base.py:726(__array__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.000    0.000 base.py:3999(_internal_get_values)
        1    0.000    0.000    0.000    0.000 frame.py:490(axes)
        1    0.000    0.000    0.000    0.000 frame.py:972(__len__)
        1    0.000    0.000    0.000    0.000 indexing.py:1740(_get_partial_string_timestamp_match_key)
        1    0.000    0.000    0.000    0.000 indexing.py:2468(need_slice)
        1    0.000    0.000    0.000    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 base.py:682(is_)
        1    0.000    0.000    0.000    0.000 blocks.py:217(get_values)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
        2    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_platform_int}
        1    0.000    0.000    0.000    0.000 base.py:3298(_convert_list_indexer)
        1    0.000    0.000    0.000    0.000 base.py:5764(_ensure_has_len)
        1    0.000    0.000    0.000    0.000 generic.py:3414(_check_setitem_copy)
        1    0.000    0.000    0.000    0.000 managers.py:760(nblocks)
        1    0.000    0.000    0.000    0.000 managers.py:918(consolidate)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2651(ndim)
        2    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 base.py:1521(nlevels)
        2    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_bool}
        1    0.000    0.000    0.000    0.000 numeric.py:134(is_all_dates)
        1    0.000    0.000    0.000    0.000 blocks.py:235(fill_value)
        1    0.000    0.000    0.000    0.000 blocks.py:337(shape)
        1    0.000    0.000    0.000    0.000 managers.py:418(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {pandas._libs.lib.item_from_zerodim}
        1    0.000    0.000    0.000    0.000 numerictypes.py:1002(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 indexing.py:859(_convert_for_reindex)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
